id,name,brand,calories,fat,carbs,protein,source
1,"Turkish Style Flatbread","1001 Delights",247kcal,1.80g,48.00g,8.30g,fatsecret
2,"Flat Bread With Grains","1001 Delights",297kcal,7.20g,47.30g,9.20g,fatsecret
3,"Tortilla Durum","1001 Delights",316kcal,7.90g,50.70g,8.80g,fatsecret
4,Falafel,"1001 Delights",216kcal,8.80g,22.00g,8.20g,fatsecret
5,Sucuk,"1001 Delights",390kcal,36.00g,0.50g,16.00g,fatsecret
6,Baklava,"1001 Delights",485kcal,28.30g,50.10g,5.50g,fatsecret
7,Kofty,"1001 Delights",254kcal,20.00g,4.60g,14.00g,fatsecret
8,"Pide With Beef & Onion","1001 Delights",234kcal,7.80g,31.30g,8.20g,fatsecret
9,"Turkish Style Yogurt","1001 Delights",124kcal,4.80g,15.40g,4.10g,fatsecret
10,"Dżem Daktylowy","1001 Delights",235kcal,0.30g,56.40g,0.50g,fatsecret
11,"Goat Cheese","1001 Delights",270kcal,23.00g,0.70g,15.00g,fatsecret
12,"Hummus Classic","1001 Delights",272kcal,20.80g,12.00g,6.70g,fatsecret
13,"Extra Jelly Pomegranate","1001 Delights",238kcal,0.20g,57.80g,0.20g,fatsecret
14,"Mango Nectar","1001 Delights",55kcal,0.50g,13.00g,0.50g,fatsecret
15,"Kajmak Z Miodem","1001 Delights",499kcal,51.00g,8.40g,1.50g,fatsecret
16,"Grilling Cheese","1001 Delights",323kcal,25.00g,1.00g,23.50g,fatsecret
17,"Dürüm Classic","1001 Delights",316kcal,7.90g,50.70g,8.80g,fatsecret
18,"Pinsa Gourmet",33Finefoods,235kcal,1.80g,46.00g,7.30g,fatsecret
19,"Mini Piadina Wraps",33Finefoods,294kcal,7.30g,48.00g,7.40g,fatsecret
20,Panini,33Finefoods,271kcal,2.30g,53.00g,8.20g,fatsecret
21,"Pizza Classica Italiana",33Finefoods,306kcal,8.40g,49.00g,7.60g,fatsecret
22,3Bit,3Bit,547kcal,33.00g,58.00g,5.10g,fatsecret
23,"WPC Chocolate Praline","4F Fuel",409kcal,9.80g,8.80g,71.00g,fatsecret
24,"WPC Strawberry Flavour","4F Fuel",412kcal,9.90g,10.00g,71.00g,fatsecret
25,"WPC Vanilla","4F Fuel",410kcal,9.80g,9.00g,72.00g,fatsecret
26,"WPC Mango","4F Fuel",411kcal,9.70g,9.70g,71.00g,fatsecret
27,"Peanut Butter","4F Fuel",612kcal,51.00g,6.10g,27.00g,fatsecret
28,"Masło Orzechowe Smooth","4F Fuel",612kcal,51.00g,6.10g,27.00g,fatsecret
29,"WPC Coconut-Almond","4F Fuel",410kcal,9.70g,9.90g,71.00g,fatsecret
30,"Batonik Pistacjowy",4Health,516kcal,32.00g,46.00g,14.70g,fatsecret
31,"Baton Musli z Orzechami i Miodem ",4Health,498kcal,29.20g,44.40g,17.20g,fatsecret
32,"Musli Crunchy Red Fruit & Chia",4Health,467kcal,17.00g,67.00g,7.80g,fatsecret
33,"Napój Izotoniczny",4Move,17kcal,0.00g,3.90g,0.00g,fatsecret
34,"Vitamin Water",4Move,11kcal,0.00g,2.40g,0.00g,fatsecret
35,"Vitaminwater Fat Killer ",4Move,10kcal,0.00g,2.20g,0.00g,fatsecret
36,"Vitamin Water Cherry",4Move,10kcal,0.00g,2.20g,0.00g,fatsecret
37,"4Move Zero",4Move,1kcal,0.00g,0.10g,0.00g,fatsecret
38,Vitamin,4Move,46kcal,0.00g,11.00g,0.00g,fatsecret
39,"Water Plus",4Move,12kcal,0.00g,3.00g,0.10g,fatsecret
40,"Isotonic Drink Orange",4Move,25kcal,0.00g,5.90g,0.00g,fatsecret
41,"Vitamin Water Collagen Brzoskwiniowo-Cytrusowy",4Move,10kcal,0.00g,2.20g,0.00g,fatsecret
42,"Isotonic Drink Orange",4Move,25kcal,0.00g,5.90g,0.00g,fatsecret
43,"Shot Magnez",4Move,30kcal,0.00g,7.40g,0.00g,fatsecret
44,"Active Vitamin",4Move,48kcal,0.00g,12.00g,0.00g,fatsecret
45,"Muesli Bar ",4Move,413kcal,13.30g,63.10g,7.50g,fatsecret
46,"Vitamin Kick",4Move,41kcal,0.00g,10.30g,0.00g,fatsecret
47,"Milky Shake Whey","6Pak Nutrition",379kcal,6.60g,14.00g,66.00g,fatsecret
48,"Protein Wafer","6Pak Nutrition",520kcal,35.00g,25.00g,30.00g,fatsecret
49,"80 Whey Protein","6Pak Nutrition",378kcal,4.40g,8.70g,71.00g,fatsecret
50,"Whey Isolate ","6Pak Nutrition",383kcal,2.70g,4.60g,85.00g,fatsecret
51,"Peanut Butter Smooth","6Pak Nutrition",637kcal,52.41g,4.70g,29.20g,fatsecret
52,Rogalik,"7 Days",452kcal,28.00g,42.00g,7.00g,fatsecret
53,"Double Max ","7 Days",429kcal,28.00g,43.00g,6.00g,fatsecret
54,"Bake Rolls Pizza","7 Days",436kcal,15.00g,62.00g,12.00g,fatsecret
55,"Mini Croissant","7 Days",448kcal,26.00g,46.00g,6.00g,fatsecret
56,Croissant,"7 Days",452kcal,28.00g,42.00g,7.00g,fatsecret
57,"Croissant Cream & Cookies","7 Days",489kcal,30.00g,48.00g,6.00g,fatsecret
58,"Max z Nadzieniem Kakaowym","7 Days",437kcal,25.00g,44.00g,7.00g,fatsecret
59,"Cocoa Cake Bar","7 Days",449kcal,20.00g,60.00g,6.00g,fatsecret
60,"Bake Rolls Garlic","7 Days",451kcal,15.00g,64.00g,14.00g,fatsecret
61,"Croissant Hazelnut","7 Days",489kcal,31.00g,44.00g,6.70g,fatsecret
62,"Double Coconut Max","7 Days",440kcal,27.00g,42.00g,5.70g,fatsecret
63,"Rogalik z Nadzieniem o Smaku Waniliowym","7 Days",447kcal,28.00g,42.00g,6.00g,fatsecret
64,"Double Max Wanilia Wiśnia","7 Days",435kcal,25.00g,46.00g,5.40g,fatsecret
65,"Bake Rolls Bacon","7 Days",463kcal,15.00g,67.00g,13.00g,fatsecret
66,"Bake Rolls Tomato Olive","7 Days",451kcal,15.00g,64.00g,14.00g,fatsecret
67,"Peanut Max","7 Days",474kcal,30.00g,43.00g,7.00g,fatsecret
68,"Croissant Chocolate Drops","7 Days",475kcal,27.00g,48.00g,8.00g,fatsecret
69,"Bake Rolls Bran Chilli","7 Days",435kcal,16.50g,54.00g,14.00g,fatsecret
70,"Croissant Peanut","7 Days",460kcal,28.00g,44.00g,7.00g,fatsecret
71,"Szprot Wędzony na Gorąco","7 Mórz",213kcal,16.00g,0.00g,17.00g,fatsecret
72,"Whey Protein 80","7 Nutrition",395kcal,6.60g,5.80g,78.00g,fatsecret
73,"Choco Cream ","7 Nutrition",591kcal,44.00g,25.00g,20.00g,fatsecret
74,7UP,7UP,29kcal,0.00g,7.00g,0.00g,fatsecret
75,"Kukurydza do Prażenia","AGA Holtex",347kcal,2.50g,70.00g,6.30g,fatsecret
76,"Pestki Dyni Łuskane","AGA Holtex",593kcal,45.80g,18.00g,24.50g,fatsecret
77,"Migdały Płatki","AGA Holtex",604kcal,52.00g,20.50g,20.00g,fatsecret
78,"Mieszanka Studencka z Żurawiną","AGA Holtex",457kcal,25.80g,41.40g,11.70g,fatsecret
79,"Bakalie Migdały Całe","AGA Holtex",604kcal,52.00g,20.50g,20.00g,fatsecret
80,"Śliwki Suszone","AGA Holtex",282kcal,1.20g,68.90g,3.50g,fatsecret
81,"Orzechy Nerkowca","AGA Holtex",588kcal,46.00g,23.00g,19.00g,fatsecret
82,"Orzechy Laskowe","AGA Holtex",665kcal,63.00g,6.00g,14.00g,fatsecret
83,"Kokosowe Płatki","AGA Holtex",657kcal,63.20g,5.90g,5.60g,fatsecret
84,"Popcorn Solony","AGA Holtex",410kcal,20.00g,55.00g,6.10g,fatsecret
85,Saltimbocca,ALIMENTA,256kcal,1.30g,52.00g,9.40g,fatsecret
86,"Base Pizza Alla Napoletana",ALIMENTA,282kcal,2.40g,55.00g,10.00g,fatsecret
87,Panini,ALIMENTA,256kcal,1.30g,52.00g,9.40g,fatsecret
88,"Base Pizza with Rosemary",ALIMENTA,295kcal,9.80g,53.00g,2.10g,fatsecret
89,Panpizzato,ALIMENTA,256kcal,1.30g,52.00g,9.40g,fatsecret
90,"Crunchy Cookies Chocolate Cream","AMERICAN FOODIE",499kcal,26.00g,60.00g,4.70g,fatsecret
91,Relish,"AMERICAN FOODIE",122kcal,0.20g,29.00g,0.60g,fatsecret
92,"Chleb Razowy Że Słonecznikiem",ARTO,238kcal,7.60g,34.00g,6.70g,fatsecret
93,"Chleb Żytni ",ARTO,178kcal,1.70g,36.00g,3.00g,fatsecret
94,"Chleb Żytni bez Drożdży ",ARTO,178kcal,1.70g,36.00g,3.00g,fatsecret
95,"Chrupasy Wafle o Smaku Zielonej Cebulki",AS-Babuni,404kcal,7.28g,69.94g,12.42g,fatsecret
96,"Wafle Paprykowe",AS-Babuni,407kcal,7.80g,69.00g,12.79g,fatsecret
97,"Wafle Toffi",AS-Babuni,384kcal,9.00g,52.40g,16.20g,fatsecret
98,"Wafle Pomidorowe z Ziołami Prowansalskimi i Chili",AS-Babuni,404kcal,7.43g,69.62g,12.46g,fatsecret
99,"Chrupasy Wafle Serowe z Ziołami Prowansalskimi",AS-Babuni,414kcal,8.85g,68.37g,13.85g,fatsecret
100,"Wafle Zielona Cebulka ",AS-Babuni,398kcal,6.29g,71.80g,11.50g,fatsecret
101,"Gofry Kruche o Smaku Karmelowym",AS-Babuni,384kcal,6.10g,70.60g,10.20g,fatsecret
102,"Gofry Słodkie",AS-Babuni,394kcal,6.60g,70.00g,12.00g,fatsecret
103,"Wafle o Smaku Toffi",AS-Babuni,414kcal,6.50g,77.00g,10.70g,fatsecret
104,"Chrupasy Wafle o Smaku Truskawki ze Śmietanką ",AS-Babuni,416kcal,7.25g,74.17g,11.45g,fatsecret
105,"Makaron Lubelski",AS-Babuni,363kcal,2.40g,70.90g,13.00g,fatsecret
106,"Makaron Razowy",AS-Babuni,355kcal,1.90g,74.10g,11.50g,fatsecret
107,"Makaron Tagliatelle z Siemieniem Lnianym",AS-Babuni,356kcal,2.00g,69.70g,12.00g,fatsecret
108,"Makaron Graham ",AS-Babuni,348kcal,2.70g,65.40g,12.80g,fatsecret
109,"Mleczko Kokosowe","ASIA GREEN GARDEN",207kcal,21.00g,2.20g,1.80g,fatsecret
110,"Pikantna Zupa z Kurczakiem","ASIA GREEN GARDEN",35kcal,1.50g,3.70g,1.50g,fatsecret
111,"Chicken Teriyaki ","ASIA GREEN GARDEN",127kcal,1.10g,22.00g,6.30g,fatsecret
112,"Makaron w Stylu Singapurskim ","ASIA GREEN GARDEN",140kcal,4.90g,19.00g,4.20g,fatsecret
113,"Bami Goreng","ASIA GREEN GARDEN",135kcal,4.10g,19.00g,5.00g,fatsecret
114,"Red Curry ","ASIA GREEN GARDEN",132kcal,4.80g,15.00g,7.30g,fatsecret
115,"Sos Rybny","ASIA KITCHEN",36kcal,0.00g,2.90g,6.00g,fatsecret
116,"Unagi Sauce","ASIA KITCHEN",193kcal,0.00g,44.00g,4.00g,fatsecret
117,"Sos Ostrygowy","ASIA KITCHEN",128kcal,0.00g,29.00g,3.00g,fatsecret
118,"Nakato Sushi Rice","ASIA KITCHEN",350kcal,1.40g,76.20g,7.40g,fatsecret
119,"Nuggets ",AVES,246kcal,11.50g,22.30g,11.10g,fatsecret
120,"Sajgonki z Farszem Warzywnym i Grzybami Mun",AVES,87kcal,0.90g,14.90g,3.40g,fatsecret
121,"Lasagne Bolognese",AVES,122kcal,3.90g,17.00g,6.40g,fatsecret
122,"Kinder Nuggets",AVES,235kcal,14.00g,16.00g,10.50g,fatsecret
123,"Pieczeń A'la Kaczka",AVES,230kcal,16.00g,5.00g,15.00g,fatsecret
124,"Kurczak Faszerowany",AVES,175kcal,9.30g,3.70g,18.00g,fatsecret
125,"Yogurt and Strawberry Muesli Bar",AXA,403kcal,11.40g,67.60g,6.00g,fatsecret
126,"Kawior Czarny",Aakerman,68kcal,3.40g,2.20g,7.20g,fatsecret
127,"Pasta Łososiowa",Aakerman,470kcal,44.00g,11.00g,6.50g,fatsecret
128,"Małże w Białym Winie",Aakerman,103kcal,3.00g,4.00g,15.00g,fatsecret
129,Surimi,Aakerman,126kcal,3.00g,20.00g,5.10g,fatsecret
130,"Surimi Smak Łososia ",Aakerman,129kcal,2.30g,15.00g,12.40g,fatsecret
131,"Małże Marynowane w Zalewie",Aakerman,107kcal,2.90g,4.10g,16.00g,fatsecret
132,"Małże w Sosie Katalońskim",Aakerman,55kcal,0.90g,4.80g,6.90g,fatsecret
133,"Małże Wędzone ",Aakerman,224kcal,13.00g,4.80g,22.00g,fatsecret
134,"Pasta Tuńczykowa ",Aakerman,440kcal,41.00g,8.50g,9.20g,fatsecret
135,"Pasta z Łososia ",Abba,470kcal,45.00g,7.50g,7.50g,fatsecret
136,"Kawior Drobnoziarnisty Czarny",Abba,70kcal,1.30g,3.30g,11.00g,fatsecret
137,"Pasta Kawiorowa Lekko Wędzona",Abba,420kcal,36.00g,17.00g,8.00g,fatsecret
138,"Pasta z Tuńczyka ",Abba,501kcal,49.00g,3.60g,10.00g,fatsecret
139,"Małże w Sosie Własnym",Abba,103kcal,2.80g,1.70g,17.40g,fatsecret
140,"Małże Marynowane",Abba,117kcal,3.10g,3.60g,18.40g,fatsecret
141,"Senaps Sill (Śledzie w Sosie Musztardowym)  ",Abba,250kcal,18.00g,16.00g,7.00g,fatsecret
142,"Małże Prowansalskie",Abba,55kcal,0.90g,4.80g,6.90g,fatsecret
143,"Szynka Szwarcwaldzka",Abraham,208kcal,12.00g,1.00g,24.00g,fatsecret
144,"Szynka Surowa",Abraham,208kcal,12.00g,1.00g,24.00g,fatsecret
145,"Szynka Bauern",Abraham,217kcal,13.00g,1.00g,24.00g,fatsecret
146,"Prosciutto Crudo",Abraham,222kcal,12.00g,1.00g,27.50g,fatsecret
147,"Dorsz Czarny",Abramczyk,87kcal,1.10g,0.00g,19.00g,fatsecret
148,"Kapitańskie Paluszki Rybne",Abramczyk,188kcal,9.40g,14.00g,12.00g,fatsecret
149,"Mintaj Filet",Abramczyk,75kcal,0.80g,0.00g,17.00g,fatsecret
150,"Komandorskie Steki Rybne",Abramczyk,162kcal,6.40g,13.00g,13.00g,fatsecret
151,"Polędwica z Dorsza ",Abramczyk,71kcal,0.80g,0.00g,16.00g,fatsecret
152,"Miruna Patagońska",Abramczyk,74kcal,0.70g,0.00g,17.00g,fatsecret
153,"Mintaj Kostka z Filetów",Abramczyk,75kcal,0.80g,0.00g,17.00g,fatsecret
154,"Polędwice z Mintaja",Abramczyk,69kcal,0.60g,0.00g,16.00g,fatsecret
155,"Krewetki w Pikantnej Marynacie Piri Piri",Abramczyk,138kcal,9.30g,0.70g,13.00g,fatsecret
156,"Polędwica z Tuńczyka ",Abramczyk,103kcal,0.30g,0.00g,25.00g,fatsecret
157,"Dorsz Filet Kostka",Abramczyk,87kcal,1.10g,0.50g,19.00g,fatsecret
158,"Kostka z Dzikiego Łososia Pacyficznego",Abramczyk,174kcal,7.10g,12.00g,15.00g,fatsecret
159,"Morszczuk Argentyński",Abramczyk,97kcal,3.20g,0.00g,17.00g,fatsecret
160,"Krewetki Białe Koktajlowe",Abramczyk,53kcal,1.00g,1.00g,10.00g,fatsecret
161,"Owoce Morza",Abramczyk,45kcal,0.70g,0.00g,9.40g,fatsecret
162,"Krewetki w Marynacie Kokosowo-Jabłkowej z Curry",Abramczyk,138kcal,9.00g,1.30g,13.00g,fatsecret
163,"Morszczuk Filet Kostka",Abramczyk,73kcal,0.50g,0.00g,17.00g,fatsecret
164,"Ryba w Sosie Grzybowym",Abramczyk,143kcal,8.00g,6.80g,11.00g,fatsecret
165,"Krewetki w Marynacie Cytrynowo-Czosnkowej ",Abramczyk,77kcal,0.51g,0.00g,18.00g,fatsecret
166,"Peanut Snaps",Action,543kcal,34.00g,37.00g,20.00g,fatsecret
167,"Corn Crackers Paprika",Action,403kcal,7.00g,74.00g,7.90g,fatsecret
168,"Raw Bar Salted Caramel",Action,368kcal,11.00g,57.00g,7.10g,fatsecret
169,"Zero Noodles",Action,9kcal,0.00g,0.00g,0.20g,fatsecret
170,"Curry Ketchup",Action,14kcal,0.00g,1.50g,2.80g,fatsecret
171,"High Whey Protein Bar ",ActivLab,266kcal,10.00g,19.00g,25.00g,fatsecret
172,"WPC 80",ActivLab,403kcal,7.10g,9.80g,75.00g,fatsecret
173,"Creatine ",ActivLab,494kcal,0.00g,0.00g,123.00g,fatsecret
174,"100% Whey Premium",ActivLab,392kcal,5.90g,9.80g,75.00g,fatsecret
175,"Mass Up",ActivLab,397kcal,0.60g,88.00g,10.00g,fatsecret
176,"Isotonic Drink",ActivLab,334kcal,0.00g,83.50g,0.00g,fatsecret
177,Isoactive,ActivLab,334kcal,0.00g,83.50g,0.00g,fatsecret
178,"Białko",ActivLab,386kcal,6.00g,13.00g,70.00g,fatsecret
179,"Protein Shake",ActivLab,351kcal,3.00g,3.00g,78.00g,fatsecret
180,"High Protein Bar Nougat-Caramel",ActivLab,522kcal,34.00g,29.00g,30.00g,fatsecret
181,"Mega Protein",ActivLab,408kcal,4.40g,22.00g,70.00g,fatsecret
182,"Protein Pancakes",ActivLab,364kcal,6.00g,50.00g,26.00g,fatsecret
183,"Energy Gel",ActivLab,300kcal,0.00g,75.00g,0.00g,fatsecret
184,"Owsianka z Jabłkami i Cynamonem ",ActivLab,352kcal,5.30g,57.70g,10.90g,fatsecret
185,"Muscle Up Protein ",ActivLab,421kcal,5.00g,24.00g,70.00g,fatsecret
186,"Fit Kakao",ActivLab,178kcal,8.00g,11.00g,11.00g,fatsecret
187,"Baton Proteinowy",ActivLab,492kcal,31.00g,30.00g,27.00g,fatsecret
188,"Rice Carbs",ActivLab,334kcal,1.60g,72.00g,8.00g,fatsecret
189,"Whey Protein 95",ActivLab,351kcal,3.00g,8.00g,73.00g,fatsecret
190,"De Luxe Lean Whey ",ActivLab,386kcal,8.20g,12.00g,66.00g,fatsecret
191,"Endurance Gel",ActivLab,280kcal,0.00g,64.00g,5.00g,fatsecret
192,"Węglowodanowo Białkowy Koktajl Odżywczy ",ActivLab,393kcal,0.50g,87.00g,10.00g,fatsecret
193,"Budyń Proteinowy",ActivLab,360kcal,1.40g,61.40g,25.30g,fatsecret
194,Gainer,ActivLab,393kcal,0.50g,87.00g,10.00g,fatsecret
195,"Peanut Butter",ActivLab,638kcal,53.00g,10.00g,27.00g,fatsecret
196,"Wysoko-Białkowy Koktajl Odżywczy ",ActivLab,386kcal,6.00g,13.00g,70.00g,fatsecret
197,Carbomax,ActivLab,376kcal,0.00g,94.00g,0.00g,fatsecret
198,"Białkowo Węglowodanowy Koktajl Odżywczy",ActivLab,370kcal,3.60g,44.00g,40.40g,fatsecret
199,"Breakfast Protein",ActivLab,372kcal,2.20g,66.10g,21.90g,fatsecret
200,"Activ Protein",ActivLab,354kcal,2.00g,24.00g,60.00g,fatsecret
201,"Beauty Bar Milk Chocolate Coconut",ActivLab,495kcal,28.00g,59.00g,5.00g,fatsecret
202,"Koncentrat Napoju Izotonicznego",ActivLab,364kcal,0.00g,91.00g,0.00g,fatsecret
203,"Soja Pro",ActivLab,350kcal,2.00g,2.00g,81.00g,fatsecret
204,"BCAA Xtra Drink",ActivLab,4kcal,0.00g,0.00g,1.00g,fatsecret
205,"Dextrose Xtra",ActivLab,390kcal,0.00g,97.50g,0.00g,fatsecret
206,"Budyń",ActivLab,357kcal,1.90g,58.50g,25.50g,fatsecret
207,"Vitamin Bar",ActivLab,474kcal,24.00g,56.00g,7.60g,fatsecret
208,"Lunch Protein",ActivLab,400kcal,11.90g,47.00g,21.80g,fatsecret
209,"BCAA Xtra",ActivLab,304kcal,0.00g,0.00g,76.00g,fatsecret
210,"Protein Snack",ActivLab,511kcal,35.00g,20.00g,20.00g,fatsecret
211,"Płatki Owsiane i Ryżowe z Bananami",ActivLab,351kcal,3.90g,61.00g,10.40g,fatsecret
212,"De Luxe Whey ",ActivLab,379kcal,5.20g,7.00g,76.00g,fatsecret
213,"All Day Protein ",ActivLab,354kcal,4.40g,3.50g,75.00g,fatsecret
214,"BCAA 100%",ActivLab,224kcal,0.00g,0.00g,56.00g,fatsecret
215,"Master Drink",ActivLab,6kcal,0.00g,0.00g,1.40g,fatsecret
216,"Hot Sport Drink",ActivLab,348kcal,0.00g,87.00g,0.00g,fatsecret
217,"Napój Migdałowy Wzbogacony w Wapń i Witaminy",Adez,14kcal,1.10g,0.30g,0.00g,fatsecret
218,"Napój Owsiany Owocowy",Adez,51kcal,1.30g,9.10g,0.00g,fatsecret
219,"Amazing Almond",Adez,38kcal,1.20g,6.10g,0.50g,fatsecret
220,"Amazing Almond Subtle Sweet Taste",Adez,13kcal,1.10g,0.50g,0.00g,fatsecret
221,"Chilling Coconut",Adez,22kcal,0.90g,3.20g,0.00g,fatsecret
222,"Kostka Śnieżna",Admat,191kcal,8.63g,24.97g,3.24g,fatsecret
223,"Lody o Smaku Śmietankowym w Polewie o Smaku Toffi",Admat,184kcal,6.50g,29.40g,1.70g,fatsecret
224,"Bukiet Warzyw",Admat,33kcal,0.26g,5.80g,1.80g,fatsecret
225,"Warzywa na Patelnie 9 Składników",Admat,25kcal,0.30g,6.40g,2.30g,fatsecret
226,Valentino,Admat,249kcal,13.30g,29.40g,3.00g,fatsecret
227,"Pasta Classica Penne",Adriana,357kcal,1.60g,69.30g,12.70g,fatsecret
228,"Makaron Penne",Adriana,359kcal,1.50g,71.20g,12.00g,fatsecret
229,"Pasta Tricolore Penne",Adriana,359kcal,1.50g,71.20g,12.10g,fatsecret
230,"Makaron Farfalle",Adriana,353kcal,1.90g,67.90g,13.10g,fatsecret
231,Makaron,Agnesi,359kcal,1.50g,72.00g,13.00g,fatsecret
232,"Pesto Alla Siciliana",Agnesi,447kcal,42.00g,9.90g,6.90g,fatsecret
233,Spaghetti,Agnesi,359kcal,1.50g,72.00g,13.00g,fatsecret
234,"Pesto Alla Calabrese ",Agnesi,295kcal,26.00g,11.00g,3.60g,fatsecret
235,Tagliatelle,Agnesi,381kcal,4.30g,69.00g,15.00g,fatsecret
236,"Pesto Alla Genovese",Agnesi,459kcal,46.00g,5.60g,5.20g,fatsecret
237,"Pesto Siciliana",Agnesi,471kcal,48.40g,2.00g,7.10g,fatsecret
238,"Orzechy Ziemne Prażone",Agnex,612kcal,49.30g,12.30g,26.30g,fatsecret
239,"Babka Płesznik Nasiona",Agnex,230kcal,4.10g,0.30g,16.30g,fatsecret
240,"Babka Jajowata Łuski",Agnex,45kcal,1.00g,6.00g,4.50g,fatsecret
241,"Mąka Migdałowa ",Agnex,604kcal,52.00g,7.60g,20.00g,fatsecret
242,"Ryż Czarny ",Agnex,160kcal,1.50g,34.00g,4.00g,fatsecret
243,"Orzechy Nerkowca",Agnex,553kcal,44.00g,30.00g,18.00g,fatsecret
244,"Orzechy Brazylijskie",Agnex,659kcal,67.10g,11.74g,14.32g,fatsecret
245,"Błonnik Witalny",Agnex,193kcal,3.50g,0.30g,13.90g,fatsecret
246,"Orzechy Laskowe Łuskane ",Agnex,665kcal,63.00g,6.00g,14.00g,fatsecret
247,"Masło Orzechowe",Agnex,560kcal,46.10g,19.20g,25.70g,fatsecret
248,"Orzechy Włoskie",Agnex,665kcal,60.00g,12.00g,16.00g,fatsecret
249,"Sezam Łuskany",Agnex,598kcal,51.00g,16.30g,26.40g,fatsecret
250,"Krem Kokosowy",Agnex,656kcal,63.70g,13.60g,5.80g,fatsecret
251,Spirulina,Agnex,209kcal,7.72g,23.90g,57.47g,fatsecret
252,"Pestki Dyni Łuskane",Agnex,586kcal,48.00g,1.50g,34.00g,fatsecret
253,"Żurawina Cięta Suszona",Agnex,308kcal,1.09g,82.80g,0.17g,fatsecret
254,"Płatki Ryżowe",Agnex,350kcal,0.40g,79.00g,7.00g,fatsecret
255,"Olej Kokosowy Bio Nierafinowany ",Agnex,828kcal,100.00g,0.00g,0.00g,fatsecret
256,"Migdały Kalifornijskie Łuskane",Agnex,604kcal,52.00g,7.60g,20.00g,fatsecret
257,"Daktyle Suszone Moje",Agnex,289kcal,0.40g,65.00g,2.00g,fatsecret
258,"Morwa Biała Owoc",Agnex,285kcal,2.60g,65.10g,7.70g,fatsecret
259,"Mąka Kokosowa",Agnex,376kcal,8.00g,44.00g,16.00g,fatsecret
260,Rodzynki,Agnex,272kcal,0.40g,69.30g,2.00g,fatsecret
261,"Figi Hiszpańskie",Agnex,292kcal,1.00g,64.00g,3.20g,fatsecret
262,"Szpinak Liście ",Agram,18kcal,0.50g,0.60g,2.80g,fatsecret
263,"Warzywa na Patelnie",Agram,21kcal,0.30g,5.00g,1.40g,fatsecret
264,"Mieszanka Chińska",Agram,23kcal,0.10g,6.10g,1.10g,fatsecret
265,"Warzywa na Patelnie z Ziemniakami",Agram,43kcal,0.00g,10.10g,1.70g,fatsecret
266,"Mieszanka Lubelska",Agram,31kcal,0.00g,8.20g,2.10g,fatsecret
267,"Truskawki Mrożone",Agram,29kcal,0.00g,7.80g,0.50g,fatsecret
268,"Smalec z Mięsem",Agrico,479kcal,51.00g,0.50g,4.90g,fatsecret
269,"Filet z Piersi Kurczaka w Sosie Pomidorowym",Agrico,103kcal,3.00g,1.00g,18.00g,fatsecret
270,"Paprykarz Szczeciński ",Agrico,206kcal,13.00g,14.00g,6.30g,fatsecret
271,"Filet z Kurczaka w Sosie Własnym",Agrico,99kcal,1.30g,1.60g,20.00g,fatsecret
272,"Szynka Drobiowa Mielona",Agrico,117kcal,7.50g,2.40g,9.90g,fatsecret
273,"Gulasz Angielski",Agrico,155kcal,11.00g,4.60g,9.80g,fatsecret
274,"Polędwica Rydzyńska","Agro Rydzyna",105kcal,2.90g,1.50g,18.00g,fatsecret
275,"Szynka Wykwintna","Agro Rydzyna",101kcal,1.20g,1.40g,21.00g,fatsecret
276,"Kiełbaski Leszczyńskie","Agro Rydzyna",247kcal,19.00g,2.50g,16.00g,fatsecret
277,"Kabanosy Wyborowe","Agro Rydzyna",284kcal,21.00g,1.30g,22.00g,fatsecret
278,"Kiełbasa Rydzyńska","Agro Rydzyna",202kcal,14.00g,2.40g,16.00g,fatsecret
279,"Kiełbasa Polska Surowa","Agro Rydzyna",180kcal,11.00g,0.90g,19.00g,fatsecret
280,"Kiełbasa Biała Parzona","Agro Rydzyna",220kcal,17.00g,2.30g,14.00g,fatsecret
281,"Kiełbasa Zwyczajna ","Agro Rydzyna",291kcal,25.00g,2.80g,13.00g,fatsecret
282,"Schab Pieczony z Przyprawami","Agro Rydzyna",123kcal,3.20g,2.30g,21.00g,fatsecret
283,"Parówki Śląskie","Agro Rydzyna",269kcal,23.00g,3.00g,12.00g,fatsecret
284,"Parówki Delikatesowe","Agro Rydzyna",275kcal,24.00g,2.20g,12.00g,fatsecret
285,"Kiełbaski Pyszne","Agro Rydzyna",236kcal,18.00g,3.00g,15.00g,fatsecret
286,"Polędwica z Indykiem","Agro Rydzyna",110kcal,5.50g,2.60g,12.00g,fatsecret
287,"Kiełbasa Śląska Extra","Agro Rydzyna",192kcal,12.00g,2.60g,18.00g,fatsecret
288,"Metka Cebulowa","Agro Rydzyna",181kcal,13.00g,1.50g,14.00g,fatsecret
289,"Parówkowa","Agro Rydzyna",260kcal,22.00g,2.90g,12.00g,fatsecret
290,"Kiełbasa Biała Delikatesowa","Agro Rydzyna",197kcal,14.00g,2.20g,15.00g,fatsecret
291,"Kiełbasa Podwawelska","Agro Rydzyna",276kcal,23.00g,1.70g,15.00g,fatsecret
292,"Kaszanka Jęczmienna","Agro Rydzyna",136kcal,7.90g,8.60g,6.50g,fatsecret
293,"Kiełbasa Krakowska ","Agro Rydzyna",152kcal,7.00g,0.90g,21.00g,fatsecret
